,index,n_clusters,n_epitopes_captured,percent_clustered,percent_clustered_in_largest,percent_labeled_clustered,mean_purity,c-CSI,c-precision,method,minsize,spike_x,label_reference,fold
164,,520,316,8.232193208287361,0.06742675003064852,8.23320255026974,63.098283660783665,2.415399705738107,29.337304542069994,clustcr,2,4,gliph,1
165,1.0,159,85,3.806546524457521,0.06742675003064852,3.8070132417851887,59.818286186210706,1.1280039234919077,29.62962962962963,clustcr,3,4,gliph,1
166,,554,359,8.693519710624733,0.06130831953896144,8.683387502299626,61.90913128187496,2.379346293003005,27.401129943502823,clustcr,2,4,gliph,2
167,2.0,153,81,3.7765924836000244,0.06130831953896144,3.765254185319188,59.13502438012243,1.1038204452075795,29.315960912052116,clustcr,3,4,gliph,2
168,,543,340,8.452862572024028,0.06742675003064852,8.44215560051499,62.85340912412737,2.5749494206363805,30.501089324618736,clustcr,2,4,gliph,3
169,3.0,160,88,3.757508888071595,0.06742675003064852,3.745938323830544,60.49625721500721,1.275213046410398,34.04255319148936,clustcr,3,4,gliph,3
170,,576,374,8.992276572269217,0.07355645457888929,8.992827806044259,61.76979993386244,2.556243486789677,28.425357873210633,clustcr,2,4,gliph,4
171,4.0,161,90,3.9046217972293737,0.07355645457888929,3.904861153681113,59.80996746524696,1.2811867835468644,32.810047095761384,clustcr,3,4,gliph,4
172,,546,351,8.629566070115224,0.06741848492277519,8.630095004596997,61.81778538921397,2.457860864235366,28.480113636363637,clustcr,2,4,gliph,5
173,5.0,168,96,3.9960774699681294,0.06741848492277519,3.996322402696905,58.34827870542157,1.2197364388599448,30.521472392638035,clustcr,3,4,gliph,5
174,,533,332,8.416084344734584,0.06742675003064852,8.410985777341834,62.6007055275348,2.268268759195684,26.96793002915452,clustcr,2,4,gliph,6
175,6.0,154,76,3.7697682971680764,0.06742675003064852,3.7641000490436487,60.81932497516913,1.0299166257969592,27.36156351791531,clustcr,3,4,gliph,6
176,,537,340,8.452344468280723,0.06129328838492185,8.446732867475788,62.557935030002064,2.3476768419762166,27.793904208998548,clustcr,2,4,gliph,7
177,7.0,147,75,3.671467974256819,0.06129328838492185,3.6655633198479833,60.84089191232047,1.0849577050386172,29.598662207357858,clustcr,3,4,gliph,7
